"Record_number","Entry_date","Study_number","Author","Quality_flag","Contributor","Country","Region","Site_name","Site_ID","Study_midyear","YearsOfData","Latitude","Longitude","Elevation","Manipulation","Manipulation_level","Age_ecosystem","Age_disturbance","Species","Biome","Ecosystem_type","Ecosystem_state","Leaf_habit","Stage","Soil_type","Soil_drainage","Soil_BD","Soil_CN","Soil_sand","Soil_silt","Soil_clay","MAT","MAP","PET","Study_temp","Study_precip","Meas_method","Collar_height","Collar_depth","Chamber_area","Time_of_day","Meas_interval","Annual_coverage","Partition_method","Rs_annual","Rs_annual_err","Rs_interann_err","Rlitter_annual","Ra_annual","Rh_annual","RC_annual","Rs_growingseason","Rs_wet","Rs_dry","GPP","ER","NEP","NPP","ANPP","BNPP","TBCA","Litter_flux","LAI","BA","C_veg_total","C_AG","C_BG","C_CR","C_FR","C_litter","C_soilmineral","C_soildepth","Notes"
1694,"2009-05-05",4100,"Tao","Q03","BBL","China","Tibet","Haibei Station","CN-HBS",2005,1,37.5,101.33,3300,"None",NA,NA,NA,"Mix","Boreal","Grassland","Natural","Deciduous","Mature","Cryic cambisol","Dry",1.2,NA,NA,NA,NA,-1.7,580,NA,NA,NA,"Gradient",NA,NA,NA,NA,NA,NA,"Isotope",191,NA,NA,NA,55,136,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26860,NA,"Year of study not specified"
2441,"2009-06-24",3705,"Zhang","Q01","BBL","China","Yunnan","Menglun Forest Reserve","CN-MFR",2003,1,21.93,101.27,750,"None",NA,NA,NA,"Mix","Tropical","Forest","Natural","Mixed","Mature",NA,"Dry",NA,NA,NA,NA,NA,21.7,NA,NA,NA,NA,"IRGA",NA,NA,NA,NA,7,1,NA,1240,NA,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rs estimated from figure"
2442,"2009-06-24",3705,"Zhang","Q01","BBL","China","Yunnan","Menglun Forest Reserve","CN-MFR",2004,1,21.93,101.27,750,"None",NA,NA,NA,"Mix","Tropical","Forest","Natural","Mixed","Mature",NA,"Dry",NA,NA,NA,NA,NA,21.7,NA,NA,NA,NA,"IRGA",NA,NA,NA,NA,7,1,NA,885,NA,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rs estimated from figure"
2738,"2009-06-30",3683,"Yan","Q01","BBL","China","Guangdong","Dinghushan Biosphere Reserve","CN-DBR-MPBF",2003.5,1,23.18,112.54,250,"None",NA,NA,55,"Pinus massoniana","Subtropical","Forest","Natural","Evergreen","Aggrading","Lateritic red earths","Dry",NA,NA,NA,NA,NA,20.9,1956,NA,NA,NA,"Gas chromatography",NA,3,1962.5,NA,7,1,NA,578,NA,NA,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,475,NA,NA,388,305,4.3,NA,NA,NA,NA,NA,NA,NA,6511,60,"Rs_max and maxday estimated from figure"
2739,"2009-06-30",3683,"Yan","Q01","BBL","China","Guangdong","Dinghushan Biosphere Reserve","CN-DBR-MF",2003.5,1,23.18,112.54,260,"None",NA,NA,100,"Castanopsis chinensis; Pinus massoniana; Schima superba","Subtropical","Forest","Natural","Evergreen","Mature","Lateritic red earths","Dry",NA,NA,NA,NA,NA,20.9,1956,NA,NA,NA,"Gas chromatography",NA,3,1962.5,NA,7,1,NA,1001,NA,NA,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,678,NA,NA,504,446,6.5,NA,NA,NA,NA,NA,NA,NA,7442,60,"Rs_max and maxday estimated from figure"
2740,"2009-06-30",3683,"Yan","Q01","BBL","China","Guangdong","Dinghushan Biosphere Reserve","CN-DBR-MEBF",2003.5,1,23.18,112.54,260,"None",NA,NA,400,"Cryptocarya concinna; Machilus chinensis; Cryptocarya chinensis","Subtropical","Forest","Natural","Evergreen","Mature","Lateritic red earths","Dry",NA,NA,NA,NA,NA,20.9,1956,NA,NA,NA,"Gas chromatography",NA,3,1962.5,NA,7,1,NA,1586,NA,NA,776,NA,NA,NA,NA,NA,NA,NA,NA,NA,970,NA,NA,1254,359,7.8,NA,NA,NA,NA,NA,NA,NA,9107,60,"Rs_max and maxday estimated from figure"
3043,"2009-07-23",3886,"Jia","Q01","BBL","China",NA,"Maoershan Forest Research Station","CN-MFR-FMSCK",2004.5,1.3,45.38,127.53,NA,"None","10 gN/m2",NA,NA,"Fraxinus mandshurica","Temperate","Forest","Managed","Deciduous",NA,NA,"Dry",NA,NA,NA,NA,NA,2.8,723,NA,NA,NA,"IRGA",NA,3,51.25,NA,30,1,NA,1173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440,325,115,NA,NA,NA,"Rs and C_CR estimated from figure"
3044,"2009-07-23",3886,"Jia","Q01","BBL","China",NA,"Maoershan Forest Research Station","CN-MFR-FMSFT",2004.5,1.3,45.38,127.53,NA,"Fertilized","10 gN/m2",NA,NA,"Fraxinus mandshurica","Temperate","Forest","Managed","Deciduous",NA,NA,"Dry",NA,NA,NA,NA,NA,2.8,723,NA,NA,NA,"IRGA",NA,3,51.25,NA,30,1,NA,908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383,300,83,NA,NA,NA,"Rs and C_CR estimated from figure"
3045,"2009-07-23",3886,"Jia","Q01","BBL","China",NA,"Maoershan Forest Research Station","CN-MFR-LARIXCK",2004.5,1.3,45.38,127.53,NA,"None","10 gN/m2",NA,NA,"Larix gmelinii","Temperate","Forest","Managed","Deciduous",NA,NA,"Dry",NA,NA,NA,NA,NA,2.8,723,NA,NA,NA,"IRGA",NA,3,51.25,NA,30,1,NA,946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,150,79,NA,NA,NA,"Rs and C_CR estimated from figure"
3046,"2009-07-23",3886,"Jia","Q01","BBL","China",NA,"Maoershan Forest Research Station","CN-MFR-LARIXFT",2004.5,1.3,45.38,127.53,NA,"Fertilized","10 gN/m2",NA,NA,"Larix gmelinii","Temperate","Forest","Managed","Deciduous",NA,NA,"Dry",NA,NA,NA,NA,NA,2.8,723,NA,NA,NA,"IRGA",NA,3,51.25,NA,30,1,NA,681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,175,64,NA,NA,NA,"Rs and C_CR estimated from figure"
3087,"2009-07-24",4045,"Ren","Q02","BBL","China",NA,"Taoyuan Station of Agricultural Ecosystem Research","CN-TSO",2003,1,28.92,111.45,NA,"None",NA,NA,NA,"Oryza sativa","Subtropical","Agriculture","Managed","Deciduous","Aggrading","Red clay","Wet",NA,NA,NA,NA,NA,16.5,1448,NA,16.8,NA,"IRGA",NA,NA,NA,NA,0.1,1,NA,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,1598.5,923.5,675.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPP, NEE, ER from #4175"
3543,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-CK",2004,1,24.53333333,101.0166667,2476,"None",NA,NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,"Comparison",992,NA,NA,NA,327.36,664.64,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3544,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-LR",2004,1,24.53333333,101.0166667,2476,"Litter manipulation","Litter removed",NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,NA,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3545,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-LRTR",2004,1,24.53333333,101.0166667,2476,"Thinned",NA,NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,"Exclusion",464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3546,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-TR",2004,1,24.53333333,101.0166667,2476,"Trench",NA,NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,"Exclusion",817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3547,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-GIRD",2004,1,24.53333333,101.0166667,2476,"Girdling",NA,NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,NA,781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3548,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-GIRDLR",2004,1,24.53333333,101.0166667,2476,"Girdling, litter removal",NA,NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,NA,464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3549,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-GIRDLRTR",2004,1,24.53333333,101.0166667,2476,"Girdling, litter removal, trenching",NA,NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,NA,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3550,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-GIRDTR",2004,1,24.53333333,101.0166667,2476,"Girdling",NA,NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,"Exclusion",893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3551,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-CK",2005,1,24.53333333,101.0166667,2476,"None",NA,NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,"Comparison",714,NA,NA,NA,235.62,478.38,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3552,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-LR",2005,1,24.53333333,101.0166667,2476,"Litter manipulation","Litter removal",NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,NA,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3553,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-LRTR",2005,1,24.53333333,101.0166667,2476,"Thinned",NA,NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,"Exclusion",407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3554,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-TR",2005,1,24.53333333,101.0166667,2476,"Trench",NA,NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,"Exclusion",600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3555,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-GIRD",2005,1,24.53333333,101.0166667,2476,"Girdling",NA,NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,NA,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3556,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-GIRDLR",2005,1,24.53333333,101.0166667,2476,"Girdling, litter removal",NA,NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,NA,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3557,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-GIRDLRTR",2005,1,24.53333333,101.0166667,2476,"Girdling, litter removal, trenching",NA,NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,NA,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3558,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-GIRDTR",2005,1,24.53333333,101.0166667,2476,"Girdling",NA,NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,"Exclusion",474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3559,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-CK",2006,1,24.53333333,101.0166667,2476,"None",NA,NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,"Comparison",822,NA,NA,NA,271.26,550.74,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
3560,"2010-04-21",5113,"Schaefer","Q03","BBL","China","Yunnan","Ailao Mountains Nature Preserve","CN-AMN-LR",2006,1,24.53333333,101.0166667,2476,"Litter manipulation","Litter removal",NA,NA,"Lithocarpus chintungensis; Rhododendron leptothrium; Vaccinium ducluoxii; Lithocarpus xylocarpus; Castanopsis wattii; Schima noronhae; Hartia sinensis; Manglietia insignsis","Subtropical","Forest","Natural","Evergreen","Mature","Loamy alfisols","Dry",NA,NA,NA,NA,NA,11.3,1840,NA,NA,NA,"IRGA",30,2,490.8,NA,30,1,NA,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,"Q10s estimated from Table 1"
