"Record_number","Entry_date","Study_number","Author","Duplicate_record","Quality_flag","Contributor","Country","Region","Site_name","Site_ID","Study_midyear","YearsOfData","Latitude","Longitude","Elevation","Manipulation","Manipulation_level","Age_ecosystem","Age_disturbance","Species","Biome","Ecosystem_type","Ecosystem_state","Leaf_habit","Stage","Soil_type","Soil_drainage","Soil_BD","Soil_CN","Soil_sand","Soil_silt","Soil_clay","MAT","MAP","PET","Study_temp","Study_precip","Meas_method","Collar_height","Collar_depth","Chamber_area","Time_of_day","Meas_interval","Annual_coverage","Partition_method","Rs_annual","Rs_annual_err","Rs_interann_err","Rlitter_annual","Ra_annual","Rh_annual","RC_annual","Rs_spring","Rs_summer","Rs_autumn","Rs_winter","Rs_growingseason","Rs_wet","Rs_dry","RC_seasonal","RC_season","GPP","ER","NEP","NPP","ANPP","BNPP","NPP_FR","TBCA","Litter_flux","Rootlitter_flux","TotDet_flux","Ndep","LAI","BA","C_veg_total","C_AG","C_BG","C_CR","C_FR","C_litter","C_soilmineral","C_soildepth","Notes"
1222,"2009-03-26",2686,"Lou",NA,"Q01","BBL","China",NA,"Ecological Station of Red Soil (Yingtan)","CN-ESR-T",1999.5,1,28.26,116.93,NA,"None",NA,NA,1,"Setaria italica; Hordeum vulgare","Subtropical","Agriculture","Managed","Deciduous","Aggrading","Sandy loam (tertiary red sandstone)","Dry",1.26,NA,NA,NA,NA,17.6,1795,1318,NA,NA,"IRGA",31,5,510.45,NA,14,1,NA,581,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,423,77,NA,NA,NA,NA,NA,"R10 estimated from figure"
1223,"2009-03-26",2686,"Lou",NA,"Q01","BBL","China",NA,"Ecological Station of Red Soil (Yingtan)","CN-ESR-Q",1999.5,1,28.26,116.93,NA,"None",NA,NA,1,"Setaria italica; Hordeum vulgare","Subtropical","Agriculture","Managed","Deciduous","Aggrading","Clay (quaternary red clay)","Dry",1.35,NA,NA,NA,NA,17.6,1795,1318,NA,NA,"IRGA",31,5,510.45,NA,14,1,NA,385,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483,413,70,NA,NA,NA,NA,NA,"R10 estimated from figure"
1224,"2009-03-26",2686,"Lou",NA,"Q01","BBL","China",NA,"Ecological Station of Red Soil (Yingtan)","CN-ESR-G",1999.5,1,28.26,116.93,NA,"None",NA,NA,1,"Setaria italica; Hordeum vulgare","Subtropical","Agriculture","Managed","Deciduous","Aggrading","Sand (granite)","Dry",1.19,NA,NA,NA,NA,17.6,1795,1318,NA,NA,"IRGA",31,5,510.45,NA,14,1,NA,775,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,457,389,67,NA,NA,NA,NA,NA,"R10 estimated from figure"
1584,"2009-04-24",4649,"Xu",NA,"Q01","BBL","China","Inner Mongolia","Duolun County-upper slope","CN-MDC-USCK",2005,1,42.45,116.67,1380,"None",NA,NA,NA,"Cleistogenes squarrosa; 3Leymus chinensis; Stipa krylovii; Stipa grandis","Temperate","Grassland","Natural","Deciduous","Mature","Calcic-orthic Aridisol","Dry",NA,NA,NA,NA,NA,2.1,385,NA,NA,NA,"IRGA",5,2.5,94.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal Rs estimated from figure"
1585,"2009-04-24",4649,"Xu",NA,"Q01","BBL","China","Inner Mongolia","Duolun County-upper slope","CN-MDC-USFERT",2005,1,42.45,116.67,1380,"Fertilized",NA,NA,NA,"Cleistogenes squarrosa; 3Leymus chinensis; Stipa krylovii; Stipa grandis","Temperate","Grassland","Natural","Deciduous","Mature","Calcic-orthic Aridisol","Dry",NA,NA,NA,NA,NA,2.1,385,NA,NA,NA,"IRGA",5,2.5,94.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal Rs estimated from figure"
1586,"2009-04-24",4649,"Xu",NA,"Q01","BBL","China","Inner Mongolia","Duolun County-upper slope","CN-MDC-USBURN",2005,1,42.45,116.67,1380,"Burned",NA,NA,NA,"Cleistogenes squarrosa; 3Leymus chinensis; Stipa krylovii; Stipa grandis","Temperate","Grassland","Natural","Deciduous","Mature","Calcic-orthic Aridisol","Dry",NA,NA,NA,NA,NA,2.1,385,NA,NA,NA,"IRGA",5,2.5,94.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal Rs estimated from figure"
1587,"2009-04-24",4649,"Xu",NA,"Q01","BBL","China","Inner Mongolia","Duolun County-upper slope","CN-MDC-USFERTBURN",2005,1,42.45,116.67,1380,"Fertilized, burned",NA,NA,NA,"Cleistogenes squarrosa; 3Leymus chinensis; Stipa krylovii; Stipa grandis","Temperate","Grassland","Natural","Deciduous","Mature","Calcic-orthic Aridisol","Dry",NA,NA,NA,NA,NA,2.1,385,NA,NA,NA,"IRGA",5,2.5,94.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal Rs estimated from figure"
1588,"2009-04-24",4649,"Xu",NA,"Q01","BBL","China","Inner Mongolia","Duolun County-lower slope","CN-MDC-LSCK",2005,1,42.45,116.67,1380,"None",NA,NA,NA,"Cleistogenes squarrosa; 3Leymus chinensis; Stipa krylovii; Stipa grandis","Temperate","Grassland","Natural","Deciduous","Mature","Calcic-orthic Aridisol","Dry",NA,NA,NA,NA,NA,2.1,385,NA,NA,NA,"IRGA",5,2.5,94.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal Rs estimated from figure"
1589,"2009-04-24",4649,"Xu",NA,"Q01","BBL","China","Inner Mongolia","Duolun County-lower slope","CN-MDC-LSFERT",2005,1,42.45,116.67,1380,"Fertilized",NA,NA,NA,"Cleistogenes squarrosa; 3Leymus chinensis; Stipa krylovii; Stipa grandis","Temperate","Grassland","Natural","Deciduous","Mature","Calcic-orthic Aridisol","Dry",NA,NA,NA,NA,NA,2.1,385,NA,NA,NA,"IRGA",5,2.5,94.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal Rs estimated from figure"
1590,"2009-04-24",4649,"Xu",NA,"Q01","BBL","China","Inner Mongolia","Duolun County-lower slope","CN-MDC-LSBURN",2005,1,42.45,116.67,1380,"Burned",NA,NA,NA,"Cleistogenes squarrosa; 3Leymus chinensis; Stipa krylovii; Stipa grandis","Temperate","Grassland","Natural","Deciduous","Mature","Calcic-orthic Aridisol","Dry",NA,NA,NA,NA,NA,2.1,385,NA,NA,NA,"IRGA",5,2.5,94.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal Rs estimated from figure"
1591,"2009-04-24",4649,"Xu",NA,"Q01","BBL","China","Inner Mongolia","Duolun County-lower slope","CN-MDC-LSFERTBURN",2005,1,42.45,116.67,1380,"Fertilized, burned",NA,NA,NA,"Cleistogenes squarrosa; 3Leymus chinensis; Stipa krylovii; Stipa grandis","Temperate","Grassland","Natural","Deciduous","Mature","Calcic-orthic Aridisol","Dry",NA,NA,NA,NA,NA,2.1,385,NA,NA,NA,"IRGA",5,2.5,94.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal Rs estimated from figure"
1592,"2009-04-24",4649,"Xu",NA,"Q01","BBL","China","Inner Mongolia","Duolun County-upper slope","CN-MDC-USCK",2006,1,42.45,116.67,1380,"None",NA,NA,NA,"Cleistogenes squarrosa; 3Leymus chinensis; Stipa krylovii; Stipa grandis","Temperate","Grassland","Natural","Deciduous","Mature","Calcic-orthic Aridisol","Dry",NA,NA,NA,NA,NA,2.1,385,NA,NA,NA,"IRGA",5,2.5,94.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal Rs estimated from figure"
1593,"2009-04-24",4649,"Xu",NA,"Q01","BBL","China","Inner Mongolia","Duolun County-upper slope","CN-MDC-USFERT",2006,1,42.45,116.67,1380,"Fertilized",NA,NA,NA,"Cleistogenes squarrosa; 3Leymus chinensis; Stipa krylovii; Stipa grandis","Temperate","Grassland","Natural","Deciduous","Mature","Calcic-orthic Aridisol","Dry",NA,NA,NA,NA,NA,2.1,385,NA,NA,NA,"IRGA",5,2.5,94.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal Rs estimated from figure"
1594,"2009-04-24",4649,"Xu",NA,"Q01","BBL","China","Inner Mongolia","Duolun County-upper slope","CN-MDC-USBURN",2006,1,42.45,116.67,1380,"Burned",NA,NA,NA,"Cleistogenes squarrosa; 3Leymus chinensis; Stipa krylovii; Stipa grandis","Temperate","Grassland","Natural","Deciduous","Mature","Calcic-orthic Aridisol","Dry",NA,NA,NA,NA,NA,2.1,385,NA,NA,NA,"IRGA",5,2.5,94.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal Rs estimated from figure"
1595,"2009-04-24",4649,"Xu",NA,"Q01","BBL","China","Inner Mongolia","Duolun County-upper slope","CN-MDC-USFERTBURN",2006,1,42.45,116.67,1380,"Fertilized, burned",NA,NA,NA,"Cleistogenes squarrosa; 3Leymus chinensis; Stipa krylovii; Stipa grandis","Temperate","Grassland","Natural","Deciduous","Mature","Calcic-orthic Aridisol","Dry",NA,NA,NA,NA,NA,2.1,385,NA,NA,NA,"IRGA",5,2.5,94.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal Rs estimated from figure"
1596,"2009-04-24",4649,"Xu",NA,"Q01","BBL","China","Inner Mongolia","Duolun County-lower slope","CN-MDC-LSCK",2006,1,42.45,116.67,1380,"None",NA,NA,NA,"Cleistogenes squarrosa; 3Leymus chinensis; Stipa krylovii; Stipa grandis","Temperate","Grassland","Natural","Deciduous","Mature","Calcic-orthic Aridisol","Dry",NA,NA,NA,NA,NA,2.1,385,NA,NA,NA,"IRGA",5,2.5,94.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal Rs estimated from figure"
1597,"2009-04-24",4649,"Xu",NA,"Q01","BBL","China","Inner Mongolia","Duolun County-lower slope","CN-MDC-LSFERT",2006,1,42.45,116.67,1380,"Fertilized",NA,NA,NA,"Cleistogenes squarrosa; 3Leymus chinensis; Stipa krylovii; Stipa grandis","Temperate","Grassland","Natural","Deciduous","Mature","Calcic-orthic Aridisol","Dry",NA,NA,NA,NA,NA,2.1,385,NA,NA,NA,"IRGA",5,2.5,94.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal Rs estimated from figure"
1598,"2009-04-24",4649,"Xu",NA,"Q01","BBL","China","Inner Mongolia","Duolun County-lower slope","CN-MDC-LSBURN",2006,1,42.45,116.67,1380,"Burned",NA,NA,NA,"Cleistogenes squarrosa; 3Leymus chinensis; Stipa krylovii; Stipa grandis","Temperate","Grassland","Natural","Deciduous","Mature","Calcic-orthic Aridisol","Dry",NA,NA,NA,NA,NA,2.1,385,NA,NA,NA,"IRGA",5,2.5,94.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal Rs estimated from figure"
1599,"2009-04-24",4649,"Xu",NA,"Q01","BBL","China","Inner Mongolia","Duolun County-lower slope","CN-MDC-LSFERTBURN",2006,1,42.45,116.67,1380,"Fertilized, burned",NA,NA,NA,"Cleistogenes squarrosa; 3Leymus chinensis; Stipa krylovii; Stipa grandis","Temperate","Grassland","Natural","Deciduous","Mature","Calcic-orthic Aridisol","Dry",NA,NA,NA,NA,NA,2.1,385,NA,NA,NA,"IRGA",5,2.5,94.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal Rs estimated from figure"
1694,"2009-05-05",4100,"Tao",NA,"Q03","BBL","China","Tibet","Haibei Station","CN-HBS",2005,1,37.5,101.33,3300,"None",NA,NA,NA,"Mix","Boreal","Grassland","Natural","Deciduous","Mature","Cryic cambisol","Dry",1.2,NA,NA,NA,NA,-1.7,580,NA,NA,NA,"Gradient",NA,NA,NA,NA,NA,NA,"Isotope",191,NA,NA,NA,55,136,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26860,NA,"Year of study not specified"
2441,"2009-06-24",3705,"Zhang",NA,"Q01","BBL","China","Yunnan","Menglun Forest Reserve","CN-MFR",2003,1,21.93,101.27,750,"None",NA,NA,NA,"Mix","Tropical","Forest","Natural","Mixed","Mature",NA,"Dry",NA,NA,NA,NA,NA,21.7,NA,NA,NA,NA,"IRGA",NA,NA,NA,NA,7,1,NA,1240,NA,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rs estimated from figure"
2442,"2009-06-24",3705,"Zhang",NA,"Q01","BBL","China","Yunnan","Menglun Forest Reserve","CN-MFR",2004,1,21.93,101.27,750,"None",NA,NA,NA,"Mix","Tropical","Forest","Natural","Mixed","Mature",NA,"Dry",NA,NA,NA,NA,NA,21.7,NA,NA,NA,NA,"IRGA",NA,NA,NA,NA,7,1,NA,885,NA,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rs estimated from figure"
2616,"2009-07-07",2820,"Wang",NA,"Q03","BBL","China","Jilin","Changbai Mountains Forest Ecosystem Open Research Station","CN-CBS",2002,1,42.4,128.47,NA,"None",NA,NA,NA,"Pinus koraiensis; Tilia amurensis; Acer mono; Fraxinus mandshurica; Quercus mongolica","Temperate","Forest","Natural","Mixed","Mature","Dark-brown earth","Dry",NA,NA,NA,NA,NA,6.1,760,NA,NA,NA,"Gas chromatography",11.5,NA,176.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Year of study not specified; assume 2 yrs previous"
2709,"2009-07-13",2646,"Jia",NA,"Q01","BBL","China",NA,NA,"CN-CN-CK",2002,1,43.92,116.52,NA,"None",NA,NA,NA,"Leymus chinensis","Temperate","Grassland","Natural","Deciduous","Mature",NA,"Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1250,NA,NA,NA,NA,NA,"C_BG estimated from figure"
2710,"2009-07-13",2646,"Jia",NA,"Q01","BBL","China",NA,NA,"CN-CN-GRAZ",2002,1,43.92,116.52,NA,"Grazing",NA,NA,NA,"Leymus chinensis","Temperate","Grassland","Managed","Deciduous","Mature",NA,"Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,NA,NA,NA,NA,NA,"C_BG estimated from figure"
2738,"2009-06-30",3683,"Yan",NA,"Q01","BBL","China","Guangdong","Dinghushan Biosphere Reserve","CN-DBR-MPBF",2003.5,1,23.18,112.54,250,"None",NA,NA,55,"Pinus massoniana","Subtropical","Forest","Natural","Evergreen","Aggrading","Lateritic red earths","Dry",NA,NA,NA,NA,NA,20.9,1956,NA,NA,NA,"Gas chromatography",NA,3,1962.5,NA,7,1,NA,578,NA,NA,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475,NA,NA,NA,388,305,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,6511,60,"Rs_max and maxday estimated from figure"
2739,"2009-06-30",3683,"Yan",NA,"Q01","BBL","China","Guangdong","Dinghushan Biosphere Reserve","CN-DBR-MF",2003.5,1,23.18,112.54,260,"None",NA,NA,100,"Castanopsis chinensis; Pinus massoniana; Schima superba","Subtropical","Forest","Natural","Evergreen","Mature","Lateritic red earths","Dry",NA,NA,NA,NA,NA,20.9,1956,NA,NA,NA,"Gas chromatography",NA,3,1962.5,NA,7,1,NA,1001,NA,NA,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,678,NA,NA,NA,504,446,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,7442,60,"Rs_max and maxday estimated from figure"
